ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agen (47000),/management/ville/agen/ville-47001,7.9,8.2,8.5,8.5,7.5,7.1,8.3,8.6,8.5,9.2,9.5,9.5,9.7,9.5,8.7,8.3,8
Agen-d'Aveyron (12630),/management/ville/agen-d-aveyron/ville-12001,4.4,4.5,4.7,4.7,4.2,4.1,5.2,5.4,5.3,5.9,6.5,6.3,6.4,6.3,5.9,5.6,5.3
Agencourt (21700),/management/ville/agencourt/ville-21001,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Agenville (80370),/management/ville/agenville/ville-80005,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Agenvillers (80150),/management/ville/agenvillers/ville-80006,9.4,9.8,10.3,10.3,9.1,9,10.7,10.5,10.4,11.3,12,11.7,12,12.1,11,10.7,10
Ageville (52340),/management/ville/ageville/ville-52001,6.4,7,7.2,7.2,6.1,5.9,7.8,7.2,6.9,7.3,7.7,7.5,7.6,7.4,6.6,6.3,5.7
Agey (21410),/management/ville/agey/ville-21002,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Aghione (20270),/management/ville/aghione/ville-2B002,9.2,9.7,9.5,9.5,9.3,8.2,8.8,9.6,10.3,10.9,11.5,11.4,11.8,11.7,10.6,10.1,9
Agincourt (54770),/management/ville/agincourt/ville-54006,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Agmé (47350),/management/ville/agme/ville-47002,8,8.2,8.2,8.2,7.2,7.1,8.7,8.9,9,9.5,9.9,9.8,10.2,10.2,9.2,8.9,8.4
Agnac (47800),/management/ville/agnac/ville-47003,8,8.2,8.2,8.2,7.2,7.1,8.7,8.9,9,9.5,9.9,9.8,10.2,10.2,9.2,8.9,8.4
Agnat (43100),/management/ville/agnat/ville-43001,6.9,7.3,7.5,7.5,7.2,6.7,8,7.5,7.9,9,9.3,9.1,9,8.8,8.3,7.9,7.2
Agneaux (50180),/management/ville/agneaux/ville-50002,5.3,5.6,6,6,5.7,5.3,6.7,6.6,6.6,7.1,7.4,7.3,7.5,7.4,6.7,6.5,5.5
Agnetz (60600),/management/ville/agnetz/ville-60007,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Agnez-lès-Duisans (62161),/management/ville/agnez-les-duisans/ville-62011,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Agnicourt-et-Séchelles (02340),/management/ville/agnicourt-et-sechelles/ville-02004,8.6,9.3,9.6,9.6,8.9,8.6,10.5,11.2,11.5,12.5,13.1,12.7,12.7,12.5,11.7,11,10.3
Agnières (62690),/management/ville/agnieres/ville-62012,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Agnin (38150),/management/ville/agnin/ville-38003,7,7.1,7.3,7.3,6.6,6.1,7.9,7.9,7.8,8.3,8.8,8.8,8.9,8.7,8,7.9,7.4
Agnos (64400),/management/ville/agnos/ville-64007,6.3,6.5,6.4,6.4,5.8,6.1,7.4,6.9,6.8,7.2,7.4,7.3,7.1,7,6.6,6.3,5.9
Agny (62217),/management/ville/agny/ville-62013,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Agon-Coutainville (50230),/management/ville/agon-coutainville/ville-50003,6.5,6.9,7.1,7.1,6.8,6.4,8,7.9,7.9,8.3,8.8,8.6,8.6,8.4,7.5,7.1,6.4
Agonac (24460),/management/ville/agonac/ville-24002,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Agonès (34190),/management/ville/agones/ville-34005,12,12.6,13.1,13.1,12.1,11.3,12.3,12.1,11.9,12.3,13.2,13.7,14.1,13.9,13,13,12.8
Agonges (03210),/management/ville/agonges/ville-03002,6.3,6.6,6.9,6.9,6.2,5.8,7.5,7.7,7.7,8.2,8.5,8.6,8.9,8.8,8.4,8.1,7.9
Agos-Vidalos (65400),/management/ville/agos-vidalos/ville-65004,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Agris (16110),/management/ville/agris/ville-16003,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.6,10.4,10.5,10.1,9.3,8.9,8.3
Agudelle (17500),/management/ville/agudelle/ville-17002,8,8.1,8.2,8.2,7.3,6.5,7.9,8.5,8.7,9.2,9.4,9.3,9.7,9.7,8.9,8.4,7.7
Aguessac (12520),/management/ville/aguessac/ville-12002,7.1,7,7.6,7.6,6.9,6.6,8.2,8.5,8.5,9,9.9,9.8,10,9.6,9.2,9,8.5
Aguilcourt (02190),/management/ville/aguilcourt/ville-02005,8.6,9.3,9.6,9.6,8.9,8.6,10.5,11.2,11.5,12.5,13.1,12.7,12.7,12.5,11.7,11,10.3
Aguts (81470),/management/ville/aguts/ville-81001,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Agy (14400),/management/ville/agy/ville-14003,7.6,7.5,8.1,8.1,7,6.5,8,7.8,8.1,8.9,9.2,9,9.3,8.7,7.9,7.5,6.5
Ahaxe-Alciette-Bascassan (64220),/management/ville/ahaxe-alciette-bascassan/ville-64008,7.8,7.7,7.3,7.3,6.9,6.5,7.9,8,8,8.7,9.1,9,9,8.7,8.2,7.9,7.3
Ahetze (64210),/management/ville/ahetze/ville-64009,7.8,7.7,7.3,7.3,6.9,6.5,7.9,8,8,8.7,9.1,9,9,8.7,8.2,7.9,7.3
Ahéville (88500),/management/ville/aheville/ville-88002,8.8,9.1,9.7,9.7,8.6,8.2,10.1,9.8,9.9,10.9,11.6,11.8,11.9,11.1,10.2,9.5,8.9
Ahuillé (53940),/management/ville/ahuille/ville-53001,5,5.3,5.5,5.5,4.8,4.7,6.4,6.2,5.8,6.5,6.9,6.8,7,6.7,6,5.7,5.5
Ahun (23150),/management/ville/ahun/ville-23001,7,7.4,7.2,7.2,6.9,6.7,7.9,8.5,9,9.5,9.9,9.6,9.7,9.3,8.6,8.6,7.9
Ahuy (21121),/management/ville/ahuy/ville-21003,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Aibes (59149),/management/ville/aibes/ville-59003,12.7,12.9,13.1,13.1,12.1,11.4,14.5,14.9,14.4,15.1,15.7,15.2,15.4,15.3,15.2,15.1,13.8
Aibre (25750),/management/ville/aibre/ville-25008,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Aïcirits-Camou-Suhast (64120),/management/ville/aicirits-camou-suhast/ville-64010,7.8,7.7,7.3,7.3,6.9,6.5,7.9,8,8,8.7,9.1,9,9,8.7,8.2,7.9,7.3
Aiffres (79230),/management/ville/aiffres/ville-79003,6.3,6.3,6.3,6.3,5.7,5.4,6.8,7,6.7,7.3,7.7,7.8,7.9,7.7,7,6.6,6
Aigaliers (30700),/management/ville/aigaliers/ville-30001,12.1,12.2,12.3,12.3,11.2,10.3,12,12,12,12.8,13.8,14.1,14.2,13.5,12.5,12.3,11.4
Aiglemont (08090),/management/ville/aiglemont/ville-08003,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Aiglepierre (39110),/management/ville/aiglepierre/ville-39006,5.3,5.6,5.9,5.9,5.2,5.1,6.7,6.6,6,6.2,6.6,6.6,6.8,6.7,6.1,5.9,5.5
Aigleville (27120),/management/ville/aigleville/ville-27004,7.3,8,8.3,8.3,7.5,7,8.8,9.1,9,9.8,10.5,10.3,10.4,10.4,9.7,9.2,8.6
Aiglun (04510),/management/ville/aiglun/ville-04001,7.5,7.7,8.3,8.3,8.4,8.1,9.1,9.1,9.6,10.5,11.2,11.5,11.7,11.4,11,10.8,9.8
